complex,Halo_ARID4A,Halo_ARID4B,Halo_BRMS1,Halo_BRMS1L,Halo_GATAD1,HDAC1.Halo,HDAC2_Halo,Halo_ING1,Halo_ING2,MORF4L1_Halo,Halo_PHF12,Halo_RBBP4,Halo_SAP30,Halo_SAP30L,Halo_SAP130,SIN3A_Halo,SIN3B_2_Halo,Halo_SUDS3
0,4.654166667,11.04583333,15.09166667,6.527777778,10.79444444,25.45,49.6125,12.82777778,8.37,16.91111111,22.15,15.80555556,10.80833333,22.125,74.57777778,22.22222222,15.875,3.644444444
0,1.5,3.25,11,3.666666667,5.333333333,37.8,14.5,12.66666667,4.2,3.333333333,3.666666667,7,21,36.75,38,5.333333333,34.5,3
0,7.75,16.25,4,0.666666667,9.333333333,10,3.25,20,15.6,4,2.666666667,18,7.75,16.5,15,10,1.5,14
0,28.25,8.5,12.5,22,1,14.8,7.25,22,16.2,4.666666667,2.333333333,6.666666667,8.5,17,19.66666667,2.666666667,2,5.333333333
0,1.858333333,3.425,0.925,2.25,4.966666667,7.75,5.3125,5.788888889,1.556666667,8.022222222,7.761111111,8.488888889,2.908333333,4.25,40.56666667,12.38888889,4.5,2.005555556
0,0.625,2,1.166666667,1.333333333,2.722222222,19,32.77083333,4.166666667,1.9,1.5,5.111111111,5.944444444,0.833333333,4.416666667,7.805555556,5.833333333,1.625,0.722222222
0,8.25,5.75,12.25,12.33333333,0.666666667,7.4,1.75,1.666666667,4,1.333333333,0,2.333333333,2.75,5.25,4,1.333333333,1.25,3.333333333
0,1.25,4,2,1.333333333,0.333333333,4.2,4,0.666666667,0.4,24.66666667,2.333333333,7.333333333,0.25,4,1,0.666666667,68.25,5.333333333
0,0.666666667,1.708333333,1.083333333,1.777777778,3.444444444,2.893686357,2.824908974,0.083333333,2.333333333,1.222222222,11.16666667,6.111111111,0.75,1.166666667,7.580808081,1.888888889,1.083333333,0.888888889
0,1,8.404347826,2.25,4,3,0.6,0,4,6.8,1.333333333,2.266666667,7.973333333,1.5,0.5,66.25044092,3,0,2.666666667
0,1,0.75,1,1.333333333,3.666666667,1.8,0.25,1.333333333,3.4,0,0.666666667,6.333333333,0.75,2,1.666666667,0,47.75,2.666666667
0,0.5,1.25,0.5,0.666666667,2,8.022407121,1.658333333,0,0.7,6.488939741,1,5.15569488,1.5,1.5,1.333333333,2,44.14008403,0.666666667
0,0.5,0.75,0,1.333333333,0.666666667,0,0,0.333333333,4.8,0,2,1.666666667,0.75,4.25,1.666666667,0,0.25,13.66666667
0,0,0,0,0.666666667,6.666666667,1.6,0.5,0.333333333,2.4,1.333333333,16.33333333,6,0.75,3,0,0.333333333,5.5,1
0,0.541666667,0.5,1.2,2.287878788,5.177777778,0.2,2.25,0.444444444,2.18961039,1.916666667,10.40458937,2.166666667,0.25,1.392857143,1.111111111,2.731481481,0.125,1.1
0,2.25,5.25,0,26.33333333,0,2.2,0,0,0,0,0,0,7.75,15.75,0.333333333,4.666666667,0.25,8
0,0.5,3.546135266,0.5,1,0.666666667,0.2,0,0,0.4,0,0,4,2.714285714,0.75,25.75096,0,0,1
0,0,0,0,0,0.333333333,33.77759288,17.09166667,0,0.1,13.84439359,3.333333333,13.84430512,0.25,0,0.666666667,0,38.60991597,0.666666667
